data_year,state_abbr,officer_state_total
1992,HI,3678
1992,IA,7259
1992,ID,3672
1992,IL,38831
1992,IN,13492
1992,KS,7991
1992,KY,8890
1992,LA,15252
1992,MA,17017
1992,MD,16203
1992,ME,2601
1992,MI,25370
1992,MN,9467
1992,MO,14148
1992,MP,0
1992,MS,6030
1992,MT,2230
1992,NB,4032
1992,NC,22420
1992,ND,1546
1992,NH,2571
1992,NJ,34332
1992,NM,5225
1992,NV,4795
1992,NY,73493
1992,OH,28805
1992,OK,9305
1992,OR,6283
1992,OT,0
1992,PA,27276
1992,PR,0
1992,RI,2740
1992,SC,10178
1992,SD,1486
1992,TN,14810
1992,TX,60115
1992,UT,4343
1992,VA,19325
1992,VI,0
1992,VT,1216
1992,WA,11869
1992,WI,14634
1992,WV,3814
1992,WY,1899
1993,AK,1697
1993,AL,12639
1993,AR,6005
1993,AS,0
1993,AZ,13475
1993,CA,87204
1993,CO,12788
1993,CT,8878
1993,CZ,0
1993,DC,5222
1993,DE,2647
1993,FL,56736
1993,FS,0
1993,GA,29894
1993,GM,0
1993,HI,3672
1993,IA,7041
1993,ID,3027
1993,IL,46998
1993,IN,13705
1993,KS,8229
1993,KY,9016
1993,LA,15931
1993,MA,17510
1993,MD,16659
1993,ME,2670
1993,MI,25507
1993,MN,10296
1993,MO,14422
1993,MP,0
1993,MS,6349
1993,MT,2254
1993,NB,4086
1993,NC,23116
1993,ND,1447
1993,NH,2593
1993,NJ,34490
1993,NM,4943
1993,NV,4789
1993,NY,74605
1993,OH,29491
1993,OK,9128
1993,OR,6410
1993,OT,0
1993,PA,27140
1993,PR,0
1993,RI,2792
1993,SC,10390
1993,SD,1492
1993,TN,15135
1993,TX,63048
1993,UT,5436
1993,VA,21067
1993,VI,0
1993,VT,1288
1993,WA,12349
1993,WI,14968
1993,WV,3756
1993,WY,1712
1994,AK,1651
1994,AL,12885
1994,AR,6433
1994,AS,0
1994,AZ,13701
1994,CA,88807
1994,CO,13950
1994,CT,8996
1994,CZ,0
1994,DC,4780
1994,DE,2689
1994,FL,60979
1994,FS,0
1994,GA,43978
1994,GM,0
1994,HI,3581
1994,IA,7031
1994,ID,2891
1994,IL,50760
1994,IN,14080
1994,KS,8494
1994,KY,9127
1994,LA,16884
1994,MA,19037
1994,MD,17414
1994,ME,2629
1994,MI,26111
1994,MN,10518
1994,MO,15107
1994,MP,0
1994,MS,6844
1994,MT,2259
1994,NB,4176
1994,NC,24450
1994,ND,1430
1994,NH,2636
1994,NJ,34813
1994,NM,5074
1994,NV,5155
1994,NY,76400
1994,OH,30852
1994,OK,9239
1994,OR,6701
1994,OT,0
1994,PA,27850
1994,PR,0
1994,RI,2893
1994,SC,10704
1994,SD,1625
1994,TN,16122
1994,TX,65811
1994,UT,5504
1994,VA,20688
1994,VI,0
1994,VT,1206
1994,WA,12301
1994,WI,15133
1994,WV,3899
1994,WY,1645
1995,AK,1771
1995,AL,13487
1995,AR,6921
1995,AS,0
1995,AZ,14684
1995,CA,92401
1995,CO,16039
1995,CT,9139
1995,CZ,0
1995,DC,4349
1995,DE,2697
1995,FL,62909
1995,FS,0
1995,GA,46624
1995,GM,0
1995,HI,3509
1995,IA,6859
1995,ID,3080
1995,IL,42420
1995,IN,14344
1995,KS,8781
1995,KY,9381
1995,LA,17555
1995,MA,19074
1995,MD,17463
1995,ME,2682
1995,MI,29436
1995,MN,10882
1995,MO,15612
1995,MP,0
1995,MS,7205
1995,MT,2399
1995,NB,4352
1995,NC,25421
1995,ND,1538
1995,NH,2689
1995,NJ,35372
1995,NM,5356
1995,NV,5410
1995,NY,84855
1995,OH,31817
1995,OK,9971
1995,OR,8245
1995,OT,0
1995,PA,28349
1995,PR,0
1995,RI,2894
1995,SC,12789
1995,SD,1688
1995,TN,16463
1995,TX,68363
1995,UT,6471
1995,VA,22885
1995,VI,0
1995,VT,1273
1995,WA,12662
1995,WI,15677
1995,WV,3995
1995,WY,1676
1996,AK,1809
1996,AL,14171
1996,AR,7286
1996,AS,0
1996,AZ,15595
1996,CA,97178
1996,CO,17891
1996,CT,10759
1996,CZ,0
1996,DC,4391
1996,DE,2715
1996,FL,63080
1996,FS,0
1996,GA,45863
1996,GM,0
1996,HI,3580
1996,IA,7184
1996,ID,3426
1996,IL,42995
1996,IN,14891
1996,KS,8990
1996,KY,9681
1996,LA,17991
1996,MA,20497
1996,MD,17572
1996,ME,2693
1996,MI,29662
1996,MN,11221
1996,MO,16046
1996,MP,0
1996,MS,7512
1996,MT,2498
1996,NB,4381
1996,NC,26474
1996,ND,1601
1996,NH,2805
1996,NJ,35780
1996,NM,5441
1996,NV,5697
1996,NY,86052
1996,OH,33049
1996,OK,9811
1996,OR,7364
1996,OT,0
1996,PA,28624
1996,PR,0
1996,RI,2881
1996,SC,11493
1996,SD,1748
1996,TN,17636
1996,TX,69822
1996,UT,6827
1996,VA,23961
1996,VI,0
1996,VT,1711
1996,WA,13431
1996,WI,16050
1996,WV,4203
1996,WY,1880
1997,AK,1301
1997,AL,13172
1997,AR,6767
1997,AS,0
1997,AZ,14326
1997,CA,88912
1997,CO,13675
1997,CT,7901
1997,CZ,0
1997,DC,5104
1997,DE,1907
1997,FL,62659
1997,FS,0
1997,GA,44212
1997,GM,0
1997,HI,3920
1997,IA,7241
1997,ID,3100
1997,IL,39549
1997,IN,15367
1997,KS,9186
1997,KY,9856
1997,LA,19316
1997,MA,19675
1997,MD,18471
1997,ME,2698
1997,MI,27723
1997,MN,11502
1997,MO,16646
1997,MP,0
1997,MS,7966
1997,MT,2575
1997,NB,4622
1997,NC,27122
1997,ND,1560
1997,NH,2927
1997,NJ,37302
1997,NM,5477
1997,NV,5990
1997,NY,87815
1997,OH,34402
1997,OK,10038
1997,OR,7437
1997,OT,0
1997,PA,28956
1997,PR,0
1997,RI,2917
1997,SC,11887
1997,SD,1766
1997,TN,22106
1997,TX,71082
1997,UT,6778
1997,VA,24276
1997,VI,0
1997,VT,1320
1997,WA,13611
1997,WI,16484
1997,WV,4136
1997,WY,1886
1998,AK,1772
1998,AL,14886
1998,AR,8167
1998,AS,0
1998,AZ,16938
1998,CA,100944
1998,CO,14800
1998,CT,11674
1998,CZ,0
1998,DC,4879
1998,DE,3016
1998,FL,63787
1998,FS,0
1998,GA,45055
1998,GM,0
1998,HI,3890
1998,IA,7138
1998,ID,3499
1998,IL,43729
1998,IN,16741
1998,KS,9457
1998,KY,9972
1998,LA,20000
1998,MA,20121
1998,MD,18845
1998,ME,2814
1998,MI,28318
1998,MN,12064
1998,MO,17043
1998,MP,0
1998,MS,8436
1998,MT,2614
1998,NB,4493
1998,NC,26922
1998,ND,1544
1998,NH,3115
1998,NJ,37625
1998,NM,5768
1998,NV,6590
1998,NY,83385
1998,OH,34026
1998,OK,10252
1998,OR,7598
1998,OT,0
1998,PA,29457
1998,PR,0
1998,RI,3006
1998,SC,12767
1998,SD,1783
1998,TN,26373
1998,TX,72561
1998,UT,7688
1998,VA,23640
1998,VI,0
1998,VT,1266
1998,WA,13987
1998,WI,16740
1998,WV,4944
1998,WY,1797
1999,AK,1857
1999,AL,15098
1999,AR,8865
